timestamp,open,high,low,close,volume
1726477200000,58924.98000000,59032.20000000,58579.27000000,58636.54000000,1072.98491000
1726480800000,58636.54000000,58750.00000000,58506.00000000,58749.99000000,681.17224000
1726484400000,58749.99000000,58835.84000000,58652.00000000,58663.99000000,682.69309000
1726488000000,58664.00000000,58789.93000000,58419.91000000,58527.99000000,802.53453000
1726491600000,58527.99000000,58610.10000000,58021.00000000,58497.10000000,2094.22366000
1726495200000,58497.11000000,58560.44000000,57555.00000000,57604.00000000,2696.19159000
1726498800000,57604.00000000,58000.00000000,57553.38000000,57881.69000000,1357.33170000
1726502400000,57881.70000000,57951.86000000,57676.93000000,57809.98000000,1124.43570000
1726506000000,57809.98000000,58263.84000000,57493.30000000,58176.01000000,1913.78305000
1726509600000,58176.00000000,58192.00000000,57701.56000000,57896.00000000,1221.41424000
1726513200000,57896.00000000,58030.00000000,57797.56000000,57943.99000000,668.26015000
1726516800000,57943.99000000,58172.50000000,57642.00000000,57687.99000000,741.16452000
1726520400000,57688.00000000,57995.50000000,57608.00000000,57995.50000000,834.60810000
1726524000000,57995.50000000,58037.62000000,57842.00000000,57970.01000000,360.27336000
1726527600000,57970.01000000,58410.00000000,57970.01000000,58213.99000000,588.69978000
1726531200000,58213.99000000,58343.99000000,57610.01000000,57630.01000000,875.34452000
1726534800000,57630.01000000,57960.00000000,57622.00000000,57896.00000000,525.18524000
1726538400000,57896.00000000,58211.10000000,57837.17000000,58115.52000000,590.35788000
1726542000000,58115.53000000,58148.84000000,58011.10000000,58060.00000000,408.80369000
1726545600000,58060.00000000,58350.03000000,58028.00000000,58246.01000000,584.36182000
1726549200000,58246.00000000,58779.08000000,58232.87000000,58642.76000000,613.92189000
1726552800000,58642.62000000,58670.00000000,58450.00000000,58488.00000000,412.51616000
1726556400000,58488.00000000,58711.10000000,58452.78000000,58695.39000000,790.90366000
1726560000000,58695.39000000,58863.00000000,58636.36000000,58792.00000000,734.10993000
1726563600000,58792.00000000,59079.99000000,58702.01000000,58966.48000000,818.33697000
1726567200000,58966.47000000,59275.00000000,58898.37000000,59236.00000000,1000.86967000
1726570800000,59235.99000000,59300.00000000,59032.66000000,59080.99000000,849.73416000
1726574400000,59080.99000000,59445.76000000,59044.06000000,59381.10000000,1419.68743000
1726578000000,59381.10000000,59416.00000000,58872.02000000,58966.00000000,1805.65841000
1726581600000,58966.00000000,60406.18000000,58940.00000000,60265.17000000,5356.27751000
1726585200000,60265.99000000,61320.00000000,60220.90000000,61135.50000000,5936.88721000
1726588800000,61135.49000000,61261.00000000,60725.11000000,60873.86000000,2324.36181000
1726592400000,60873.86000000,60999.00000000,60686.36000000,60958.37000000,1409.46651000
1726596000000,60958.37000000,61075.39000000,60363.81000000,60540.17000000,1305.76779000
1726599600000,60540.17000000,60696.48000000,59618.26000000,59967.99000000,2112.05320000
1726603200000,59967.98000000,60342.85000000,59715.42000000,60120.00000000,1665.06151000
1726606800000,60119.99000000,60424.25000000,60105.01000000,60334.07000000,662.68788000
1726610400000,60334.07000000,60343.99000000,60122.50000000,60240.01000000,424.37655000
1726614000000,60240.01000000,60324.00000000,60005.31000000,60313.99000000,489.52738000
1726617600000,60313.99000000,60334.00000000,59854.60000000,60240.00000000,1066.36130000
1726621200000,60240.01000000,60330.05000000,59988.41000000,60114.00000000,650.41247000
1726624800000,60114.00000000,60361.00000000,60073.09000000,60352.00000000,455.14795000
1726628400000,60352.00000000,60769.00000000,60348.51000000,60509.99000000,1819.91935000
1726632000000,60510.00000000,60689.62000000,60318.00000000,60429.99000000,604.50439000
1726635600000,60429.99000000,60429.99000000,60199.68000000,60241.07000000,421.02101000
1726639200000,60241.07000000,60488.96000000,60204.00000000,60453.99000000,379.01087000
1726642800000,60453.99000000,60541.65000000,60334.00000000,60428.01000000,428.78480000
1726646400000,60428.01000000,60428.01000000,60086.54000000,60198.05000000,630.96889000
1726650000000,60198.05000000,60198.06000000,59654.77000000,59654.77000000,1334.23239000
1726653600000,59654.76000000,59924.00000000,59348.88000000,59907.49000000,2111.03734000
1726657200000,59907.50000000,60000.00000000,59821.81000000,59846.00000000,451.89241000
1726660800000,59846.00000000,60000.00000000,59689.57000000,59978.24000000,829.14742000
1726664400000,59978.24000000,60160.00000000,59308.61000000,59508.50000000,1920.77662000
1726668000000,59508.50000000,59776.00000000,59340.00000000,59487.60000000,1376.14090000
1726671600000,59487.61000000,59757.06000000,59320.00000000,59429.18000000,991.84446000
1726675200000,59429.19000000,59954.00000000,59174.80000000,59915.26000000,1247.00154000
1726678800000,59915.26000000,60247.69000000,59485.45000000,60013.01000000,1472.53323000
1726682400000,60013.02000000,61318.60000000,59759.84000000,60629.79000000,8768.74537000
1726686000000,60629.79000000,60745.99000000,59987.25000000,60057.99000000,3156.74947000
1726689600000,60057.99000000,60320.00000000,59473.68000000,60230.01000000,2083.48272000
1726693200000,60230.01000000,60496.95000000,60168.04000000,60199.46000000,808.61440000
1726696800000,60199.46000000,60700.00000000,60194.00000000,60684.78000000,732.26197000
1726700400000,60684.78000000,61786.24000000,60680.00000000,61759.99000000,2346.43342000
1726704000000,61759.98000000,62589.52000000,61704.02000000,62226.00000000,4317.11457000
1726707600000,62226.00000000,62316.00000000,61555.00000000,62005.99000000,1884.00728000
1726711200000,62006.00000000,62329.00000000,61799.90000000,62204.32000000,1425.98063000
1726714800000,62204.32000000,62278.00000000,61998.29000000,62117.99000000,717.19002000
1726718400000,62117.98000000,62150.00000000,61892.10000000,62082.00000000,600.47755000
1726722000000,62082.00000000,62179.99000000,61902.00000000,61990.42000000,730.33282000
1726725600000,61990.42000000,62124.00000000,61814.00000000,62020.60000000,758.55786000
1726729200000,62020.60000000,62176.21000000,61923.45000000,62093.99000000,1270.87999000
1726732800000,62094.00000000,62197.39000000,61888.18000000,61932.00000000,668.50319000
1726736400000,61932.01000000,62349.00000000,61892.00000000,62272.01000000,905.48226000
1726740000000,62272.01000000,62727.52000000,62272.00000000,62320.01000000,1169.11847000
1726743600000,62320.00000000,62708.00000000,62242.00000000,62645.44000000,942.55837000
1726747200000,62645.44000000,63200.00000000,62582.14000000,62924.07000000,3495.58417000
1726750800000,62924.06000000,63370.50000000,62690.00000000,63035.98000000,2426.97861000
1726754400000,63035.98000000,63500.84000000,62888.00000000,62935.83000000,2941.04278000
1726758000000,62935.84000000,63355.00000000,62810.68000000,63154.04000000,1302.93609000
1726761600000,63154.03000000,63675.97000000,62940.00000000,63556.92000000,1836.99145000
1726765200000,63556.92000000,63850.00000000,63279.35000000,63709.22000000,2038.38188000
1726768800000,63709.22000000,63776.99000000,63490.00000000,63628.00000000,1122.13495000
1726772400000,63628.01000000,63639.69000000,63149.44000000,63251.99000000,1057.33622000
1726776000000,63251.99000000,63254.14000000,62961.20000000,63016.74000000,664.18566000
1726779600000,63016.75000000,63168.75000000,62879.76000000,62879.76000000,655.95987000
1726783200000,62879.76000000,63086.01000000,62650.00000000,62940.01000000,1048.49106000
1726786800000,62940.01000000,63070.00000000,62900.01000000,62947.99000000,352.30033000
1726790400000,62948.00000000,63010.00000000,62663.72000000,62756.40000000,804.40766000
1726794000000,62756.39000000,63184.54000000,62606.00000000,63037.99000000,1034.87387000
1726797600000,63037.99000000,63125.01000000,62819.85000000,63125.01000000,602.69311000
1726801200000,63125.01000000,63750.00000000,63086.95000000,63742.16000000,1179.84226000
1726804800000,63742.15000000,64133.32000000,63670.30000000,63843.81000000,2897.89215000
1726808400000,63843.81000000,64033.99000000,63608.81000000,63809.99000000,1264.42506000
1726812000000,63810.00000000,63925.32000000,63636.00000000,63795.33000000,977.43992000
1726815600000,63795.34000000,63795.34000000,63390.32000000,63524.80000000,1498.59593000
1726819200000,63524.81000000,63530.00000000,63090.43000000,63298.91000000,1303.94156000
1726822800000,63298.91000000,63554.99000000,63264.01000000,63468.00000000,760.64387000
1726826400000,63468.00000000,63677.99000000,63350.93000000,63664.00000000,642.71135000
1726830000000,63664.01000000,63700.00000000,63344.00000000,63440.00000000,1036.45468000
1726833600000,63440.01000000,63544.37000000,63332.89000000,63417.45000000,666.52531000
1726837200000,63417.45000000,63450.00000000,62676.90000000,62836.46000000,2118.70560000
